publication_frequency_text	publication_frequency_annual	Count
Total count (na.rm TRUE): 	3130	
month	NA	  2
week	NA	  1
Irregular	NA	195
Daily	365.00000000	  2
Six per Week	312.00000000	  1
Five per Week	260.00000000	  1
Four per Week	208.00000000	  1
Three per Week	156.00000000	  1
Eleven per Month	132.00000000	  1
Ten per Month	120.00000000	  2
Two per Week	104.00000000	  7
Six per Month	 75.00000000	  1
Five per Month	 60.00000000	  2
Weekly	 52.00000000	245
Four per Month	 48.00000000	  1
Four per Month	 45.00000000	  1
Four per Month	 42.00000000	  3
Three per Month	 40.00000000	  4
Three per Month	 38.00000000	  1
Three per Month	 37.50000000	  2
Three per Month	 36.00000000	  6
Three per Month	 35.00000000	  1
Three per Month	 34.00000000	  1
Three per Month	 32.00000000	  2
Three per Month	 31.00000000	  1
Every two Weeks	 30.00000000	  2
Every two Weeks	 28.50000000	  1
Every two Weeks	 26.00000000	141
Every two Weeks	 24.00000000	 39
Every two Weeks	 23.00000000	  1
Every two Weeks	 22.00000000	  4
Every two Weeks	 21.50000000	  1
Every three Weeks	 21.00000000	  1
Every three Weeks	 20.00000000	 21
Every three Weeks	 19.50000000	  1
Every three Weeks	 19.00000000	  2
Every three Weeks	 18.00000000	  9
Every three Weeks	 16.00000000	  4
Every three Weeks	 15.00000000	  5
Monthly	 14.00000000	  4
Monthly	 13.00000000	  4
Monthly	 12.50000000	  1
Monthly	 12.00000000	653
Monthly	 11.50000000	  1
Monthly	 11.00000000	 18
Ten per Year	 10.50000000	  2
Ten per Year	 10.00000000	 97
Ten per Year	  9.71428571	  1
Ten per Year	  9.50000000	  1
Nine per Year	  9.00000000	 22
Nine per Year	  8.50000000	  2
Eight per Year	  8.00000000	 65
Eight per Year	  7.50000000	  4
Seven per Year	  7.00000000	 20
Seven per Year	  6.66666667	  1
Seven per Year	  6.60000000	  1
Seven per Year	  6.50000000	  6
Every two Months	  6.00000000	200
Every two Months	  5.75000000	  1
Every two Months	  5.66666667	  1
Every two Months	  5.50000000	  5
Five per Year	  5.25000000	  1
Five per Year	  5.00000000	 42
Five per Year	  4.50000000	 16
Every three Months	  4.40000000	  1
Every three Months	  4.33333333	  1
Every three Months	  4.00000000	377
Every three Months	  3.75000000	  1
Every three Months	  3.63636364	  1
Every three Months	  3.50000000	 15
Every four Months	  3.45000000	  1
Every four Months	  3.33333333	  1
Every four Months	  3.25000000	  1
Every four Months	  3.22222222	  1
Every four Months	  3.12500000	  1
Every four Months	  3.00000000	 53
Every four Months	  2.87500000	  1
Every four Months	  2.85714286	  1
Every four Months	  2.66666667	  1
Every four Months	  2.50000000	 17
Two per Year	  2.42857143	  1
Two per Year	  2.40000000	  1
Two per Year	  2.33333333	  2
Two per Year	  2.29411765	  1
Two per Year	  2.28571429	  1
Two per Year	  2.23809524	  1
Two per Year	  2.23076923	  1
Two per Year	  2.22222222	  1
Two per Year	  2.20000000	  1
Two per Year	  2.16666667	  2
Two per Year	  2.14285714	  1
Two per Year	  2.00000000	101
Two per Year	  1.97297297	  1
Two per Year	  1.83333333	  1
Two per Year	  1.82608696	  1
Two per Year	  1.82142857	  1
Two per Year	  1.78378378	  1
Two per Year	  1.75000000	  2
Two per Year	  1.72727273	  1
Two per Year	  1.70000000	  1
Two per Year	  1.69565217	  1
Two per Year	  1.67241379	  1
Two per Year	  1.66666667	  3
Two per Year	  1.65000000	  1
Two per Year	  1.63636364	  1
Two per Year	  1.58620690	  1
Two per Year	  1.56521739	  1
Two per Year	  1.52631579	  1
Two per Year	  1.50000000	 34
Annual	  1.41463415	  1
Annual	  1.40000000	  2
Annual	  1.37500000	  1
Annual	  1.35135135	  1
Annual	  1.33333333	  3
Annual	  1.30769231	  1
Annual	  1.30000000	  1
Annual	  1.25000000	  2
Annual	  1.18750000	  1
Annual	  1.17857143	  1
Annual	  1.16666667	  1
Annual	  1.16176471	  1
Annual	  1.06666667	  1
Annual	  1.03921569	  1
Annual	  1.02272727	  1
Annual	  1.00000000	474
Annual	  0.96078431	  1
Annual	  0.95652174	  2
Annual	  0.94871795	  1
Annual	  0.94444444	  1
Annual	  0.93750000	  1
Annual	  0.92857143	  1
Annual	  0.92307692	  1
Annual	  0.91666667	  1
Annual	  0.91304348	  1
Annual	  0.90000000	  1
Annual	  0.87500000	  1
Annual	  0.87012987	  1
Annual	  0.86363636	  1
Annual	  0.86111111	  1
Annual	  0.85869565	  1
Annual	  0.83333333	  1
Annual	  0.81914894	  1
Annual	  0.80952381	  1
Annual	  0.80000000	  1
Annual	  0.78571429	  1
Annual	  0.78181818	  1
Annual	  0.78125000	  1
Annual	  0.76000000	  1
Annual	  0.75000000	  2
Every two Years	  0.72000000	  1
Every two Years	  0.71153846	  1
Every two Years	  0.70422535	  1
Every two Years	  0.66666667	  2
Every two Years	  0.65384615	  1
Every two Years	  0.64102564	  1
Every two Years	  0.62222222	  1
Every two Years	  0.60975610	  1
Every two Years	  0.60000000	  2
Every two Years	  0.57142857	  1
Every two Years	  0.54545455	  1
Every two Years	  0.52941176	  1
Every two Years	  0.52173913	  1
Every two Years	  0.50000000	 28
Every two Years	  0.48717949	  1
Every two Years	  0.46153846	  1
Every two Years	  0.44444444	  1
Every two Years	  0.43333333	  1
Every two Years	  0.41666667	  1
Every three Years	  0.40000000	  2
Every three Years	  0.39682540	  1
Every three Years	  0.36363636	  1
Every three Years	  0.34453782	  1
Every three Years	  0.33333333	  6
Every three Years	  0.32352941	  1
Every three Years	  0.32258065	  1
Every three Years	  0.31578947	  1
Every three Years	  0.31111111	  1
Every three Years	  0.30769231	  2
Every three Years	  0.30434783	  1
Every four Years	  0.29090909	  1
Every four Years	  0.28571429	  1
Every four Years	  0.27272727	  1
Every four Years	  0.25000000	  2
Every four Years	  0.23684211	  1
Every five Years	  0.21739130	  1
Every five Years	  0.20000000	  3
Every six Years	  0.17391304	  1
Every eight Years	  0.12500000	  1
Less than every ten Years	  0.09278351	  1
Less than every ten Years	  0.09090909	  1
Less than every ten Years	  0.08421053	  1
Less than every ten Years	  0.07692308	  1
Less than every ten Years	  0.07142857	  1
Less than every ten Years	  0.02884615	  1
